date,occupancy
2019-03-31,115
2019-04-01,123
2019-04-02,124
2019-04-03,124
2019-04-04,127
2019-04-05,130
2019-04-06,132
2019-04-07,133
2019-04-08,145
2019-04-09,148
2019-04-10,149
2019-04-11,144
2019-04-12,141
2019-04-13,135
2019-04-14,126
2019-04-15,128
2019-04-16,127
2019-04-17,121
2019-04-18,105
2019-04-19,102
2019-04-20,99
2019-04-21,94
2019-04-22,104
2019-04-23,105
2019-04-24,102
2019-04-25,97
2019-04-26,93
2019-04-27,84
2019-04-28,77
2019-04-29,78
2019-04-30,80
2019-05-01,84
