,dates,occupancy,admissions,discharges
0,2017-04-01,30,30.0,
1,2017-04-02,45,15.0,6.0
2,2017-04-03,65,26.0,9.0
3,2017-04-04,76,20.0,14.0
4,2017-04-05,71,9.0,9.0
5,2017-04-06,73,11.0,13.0
6,2017-04-07,68,8.0,10.0
7,2017-04-08,70,12.0,17.0
8,2017-04-09,61,8.0,5.0
9,2017-04-10,65,9.0,14.0
10,2017-04-11,58,7.0,8.0
11,2017-04-12,59,9.0,9.0
12,2017-04-13,61,11.0,11.0
13,2017-04-14,58,8.0,7.0
