date,occupancy
2019-04-01,113.69414257168354
2019-04-02,117.01060106175186
2019-04-03,117.5584547168752
2019-04-04,115.8190597512601
2019-04-05,116.13894756664244
2019-04-06,114.24854383814987
2019-04-07,109.21825296339291
2019-04-08,118.45787386733376
2019-04-09,121.07617038979555
2019-04-10,121.70957004307894
2019-04-11,120.36580970382187
2019-04-12,120.58884913954319
2019-04-13,118.28100340598273
2019-04-14,112.2904314878906
2019-04-15,121.32020459085987
2019-04-16,123.8182076005666
2019-04-17,124.34523966172704
2019-04-18,122.90029025329184
2019-04-19,123.02610123385901
2019-04-20,120.62482619781122
2019-04-21,114.54449641396305
2019-04-22,123.48759529025445
2019-04-23,125.90239316501388
2019-04-24,126.34945274645183
2019-04-25,124.82764150484127
2019-04-26,124.87949886536808
2019-04-27,122.40716397057766
2019-04-28,116.25858721719672
2019-04-29,125.13569850307302
2019-04-30,127.48718534268956
