date,occupancy
2019-04-01,122
2019-04-02,125
2019-04-03,130
2019-04-04,141
2019-04-05,140
2019-04-06,141
2019-04-07,145
2019-04-08,139
2019-04-09,143
2019-04-10,135
2019-04-11,136
2019-04-12,133
2019-04-13,144
2019-04-14,139
2019-04-15,132
2019-04-16,140
2019-04-17,134
2019-04-18,139
2019-04-19,145
2019-04-20,151
2019-04-21,145
2019-04-22,141
2019-04-23,134
2019-04-24,136
2019-04-25,143
2019-04-26,135
2019-04-27,138
2019-04-28,134
2019-04-29,126
2019-04-30,125
