target_days = 30
sarima_params =
	order = (2, 0, 3)
	seasonal_order = (1, 0, 2, 5)
dates,occupancy,forecast
2019-03-02,146,104.20694828092944
2019-03-03,149,102.19426954942007
2019-03-04,156,101.98518680884108
2019-03-05,156,103.33812433865715
2019-03-06,160,105.72216401649985
2019-03-07,151,105.04828005648008
2019-03-08,148,104.81155444151342
2019-03-09,143,104.55874945803897
2019-03-10,130,105.14932393607415
2019-03-11,135,105.09661815813602
2019-03-12,139,104.30240776467427
2019-03-13,127,104.00585187328134
2019-03-14,124,103.76083946751366
2019-03-15,130,104.35555286250646
2019-03-16,124,104.30743444477885
2019-03-17,130,103.51892517856508
2019-03-18,133,103.22674393258134
2019-03-19,151,102.98585600950673
2019-03-20,144,103.58280428674601
2019-03-21,138,103.5382539222245
2019-03-22,145,102.75487092292602
2019-03-23,138,102.46671792516302
2019-03-24,125,102.22972269618684
2019-03-25,141,102.82873597577758
2019-03-26,123,102.78761040159154
2019-03-27,129,102.00922224439128
2019-03-28,141,101.7249764211912
2019-03-29,142,101.49175745476968
2019-03-30,133,102.09272575700328
2019-03-31,107,102.05491365253063
