target_days: 30
parameters: 
trend: mul
damped_trend: False
seasonal: mul
seasonal_periods: 60
initialization_method: estimated
Mean Absolute Error = 8.5
Mean Squared Error = 123.63333333333334
Root Mean Squared Error = 11.119052717445554
Mean Absolute Percentage Error = 0.06354365632281694
dates,occupancy
2019-03-02,142
2019-03-03,148
2019-03-04,146
2019-03-05,147
2019-03-06,149
2019-03-07,142
2019-03-08,142
2019-03-09,143
2019-03-10,144
2019-03-11,141
2019-03-12,141
2019-03-13,140
2019-03-14,134
2019-03-15,131
2019-03-16,132
2019-03-17,129
2019-03-18,128
2019-03-19,131
2019-03-20,135
2019-03-21,132
2019-03-22,129
2019-03-23,124
2019-03-24,125
2019-03-25,126
2019-03-26,131
2019-03-27,136
2019-03-28,137
2019-03-29,139
2019-03-30,140
2019-03-31,143
