target_days: 30
parameters: 
trend: add
damped_trend: False
seasonal: mul
seasonal_periods: 350
initialization_method: heuristic
Mean Absolute Error = 92.43333333333334
Mean Squared Error = 10653.433333333332
Root Mean Squared Error = 103.21547041666444
Mean Absolute Percentage Error = 0.5503857233451194
dates,occupancy
2024-03-20,187
2024-03-21,187
2024-03-22,187
2024-03-23,196
2024-03-24,220
2024-03-25,224
2024-03-26,215
2024-03-27,214
2024-03-28,242
2024-03-29,229
2024-03-30,227
2024-03-31,239
2024-04-01,241
2024-04-02,262
2024-04-03,273
2024-04-04,244
2024-04-05,249
2024-04-06,265
2024-04-07,269
2024-04-08,286
2024-04-09,279
2024-04-10,338
2024-04-11,281
2024-04-12,273
2024-04-13,319
2024-04-14,346
2024-04-15,304
2024-04-16,373
2024-04-17,294
2024-04-18,341
