target_days: 30
parameters: 
trend: None
damped_trend: False
seasonal: mul
seasonal_periods: 240
initialization_method: estimated
Mean Absolute Error = 11.066666666666666
Mean Squared Error = 191.86666666666667
Root Mean Squared Error = 13.851594372730768
Mean Absolute Percentage Error = 0.07880425773687826
dates,occupancy
2019-03-01,143
2019-03-02,146
2019-03-03,139
2019-03-04,136
2019-03-05,137
2019-03-06,125
2019-03-07,136
2019-03-08,130
2019-03-09,131
2019-03-10,133
2019-03-11,132
2019-03-12,130
2019-03-13,128
2019-03-14,125
2019-03-15,127
2019-03-16,126
2019-03-17,126
2019-03-18,125
2019-03-19,130
2019-03-20,124
2019-03-21,126
2019-03-22,122
2019-03-23,119
2019-03-24,119
2019-03-25,121
2019-03-26,130
2019-03-27,124
2019-03-28,129
2019-03-29,136
2019-03-30,133
