dates,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,10,7,6,28,28,6
2020-04-25,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,7,7,7,28,28,7
2020-04-26,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,8,6,9,28,28,9
2020-04-27,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,8,6,10,24,24,10
2020-04-28,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,8,4,2,18,18,2
2020-04-29,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,5,2,3,15,15,3
2020-04-30,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,6,3,4,16,16,4
2020-05-01,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,9,6,7,26,26,7
2020-05-02,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,9,6,7,29,29,7
2020-05-03,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,7,6,8,29,29,8
2020-05-04,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,7,6,10,27,27,10
2020-05-05,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,6,6,7,30,30,7
2020-05-06,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,6,6,10,28,28,10
2020-05-07,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,6,6,6,30,30,6
2020-05-08,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,6,5,4,32,32,4
2020-05-09,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,5,5,4,27,27,4
2020-05-10,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,5,5,6,28,28,6
2020-05-11,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,5,5,4,31,31,4
2020-05-12,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,3,2,4,33,33,4
2020-05-13,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,3,2,4,32,32,4
2020-05-14,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,3,2,15,21,21,15
2020-05-15,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,3,2,8,28,28,8
2020-05-16,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,3,1,9,22,22,9
2020-05-17,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,2,1,10,21,21,10
2020-05-18,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,3,2,7,29,29,7
2020-05-19,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,3,2,5,31,31,5
2020-05-20,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,3,2,14,22,22,14
2020-05-21,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,5,1,4,31,31,4
2020-05-22,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,5,1,8,29,29,8
2020-05-23,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,4,2,5,30,30,5
2020-05-24,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,2,1,3,32,32,3
2020-05-25,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,1,0,7,31,31,7
2020-05-26,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,1,0,3,17,17,3
2020-05-27,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,1,0,13,25,25,13
2020-05-28,05,Nordrhein-Westfalen,05370,LK Heinsberg,3,3,1,0,14,22,22,14
