date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,4,Bremen,4011,SK Bremen,9,10,8,7.0,77,119,113,69
2020-04-25,4,Bremen,4011,SK Bremen,9,10,9,6.0,89,109,103,81
2020-04-26,4,Bremen,4011,SK Bremen,9,10,9,7.0,79,117,111,71
2020-04-27,4,Bremen,4011,SK Bremen,9,10,10,7.0,89,106,100,81
2020-04-28,4,Bremen,4011,SK Bremen,9,10,10,7.0,83,113,108,74
2020-04-29,4,Bremen,4011,SK Bremen,9,10,8,6.0,76,121,116,67
2020-04-30,4,Bremen,4011,SK Bremen,9,10,9,6.0,79,118,113,70
2020-05-01,4,Bremen,4011,SK Bremen,9,10,9,5.0,86,108,103,78
2020-05-02,4,Bremen,4011,SK Bremen,9,10,7,5.0,90,104,99,82
2020-05-03,4,Bremen,4011,SK Bremen,9,10,7,5.0,89,102,96,81
2020-05-04,4,Bremen,4011,SK Bremen,9,10,6,5.0,84,103,96,77
2020-05-05,4,Bremen,4011,SK Bremen,9,10,6,5.0,82,108,101,75
2020-05-06,4,Bremen,4011,SK Bremen,9,10,7,6.0,89,98,91,82
2020-05-07,4,Bremen,4011,SK Bremen,9,10,5,5.0,91,98,93,82
2020-05-08,4,Bremen,4011,SK Bremen,9,10,5,5.0,88,101,96,79
2020-05-09,4,Bremen,4011,SK Bremen,9,10,7,5.0,86,103,98,77
2020-05-10,4,Bremen,4011,SK Bremen,9,10,6,5.0,87,96,91,78
2020-05-11,4,Bremen,4011,SK Bremen,9,10,6,5.0,95,89,85,87
2020-05-12,4,Bremen,4011,SK Bremen,9,10,4,4.0,93,88,84,85
2020-05-13,4,Bremen,4011,SK Bremen,9,10,6,3.0,84,101,97,76
2020-05-14,4,Bremen,4011,SK Bremen,9,10,4,2.0,91,98,95,82
2020-05-15,4,Bremen,4011,SK Bremen,9,10,9,3.0,85,104,101,76
2020-05-16,4,Bremen,4011,SK Bremen,9,10,7,3.0,90,99,96,81
2020-05-17,4,Bremen,4011,SK Bremen,9,10,4,3.0,99,90,87,90
2020-05-18,4,Bremen,4011,SK Bremen,9,10,2,2.0,95,92,89,86
2020-05-19,4,Bremen,4011,SK Bremen,9,10,5,2.0,83,103,98,76
2020-05-20,4,Bremen,4011,SK Bremen,9,10,6,2.0,83,106,101,76
2020-05-21,4,Bremen,4011,SK Bremen,9,10,7,2.0,77,108,103,70
2020-05-22,4,Bremen,4011,SK Bremen,9,10,5,2.0,85,98,93,78
2020-05-23,4,Bremen,4011,SK Bremen,9,10,6,3.0,87,100,95,80
2020-05-24,4,Bremen,4011,SK Bremen,9,10,4,1.0,85,100,93,80
2020-05-25,4,Bremen,4011,SK Bremen,9,10,6,3.0,80,105,98,75
2020-05-26,4,Bremen,4011,SK Bremen,9,10,3,2.0,83,104,96,79
2020-05-27,4,Bremen,4011,SK Bremen,9,10,4,2.0,85,103,95,81
2020-05-28,4,Bremen,4011,SK Bremen,9,10,4,2.0,85,102,94,81
2020-05-29,4,Bremen,4011,SK Bremen,9,10,5,3.0,85,98,93,78
2020-05-30,4,Bremen,4011,SK Bremen,9,10,4,2.0,85,92,87,78
2020-05-31,4,Bremen,4011,SK Bremen,9,10,2,1.0,81,100,94,74
2020-06-01,4,Bremen,4011,SK Bremen,9,10,3,2.0,86,98,91,79
2020-06-02,4,Bremen,4011,SK Bremen,9,10,4,2.0,88,96,89,81
2020-06-03,4,Bremen,4011,SK Bremen,9,10,3,2.0,90,94,87,83
2020-06-04,4,Bremen,4011,SK Bremen,9,10,2,1.0,86,98,92,78
2020-06-05,4,Bremen,4011,SK Bremen,9,10,4,2.0,83,105,96,79
2020-06-06,4,Bremen,4011,SK Bremen,9,10,5,2.0,92,96,87,88
2020-06-07,4,Bremen,4011,SK Bremen,9,10,6,3.0,89,96,87,85
2020-06-08,4,Bremen,4011,SK Bremen,9,10,5,2.0,89,100,91,85
2020-06-09,4,Bremen,4011,SK Bremen,9,10,6,3.0,90,104,95,86
2020-06-10,4,Bremen,4011,SK Bremen,9,10,5,4.0,83,101,93,78
2020-06-11,4,Bremen,4011,SK Bremen,9,10,4,3.0,83,104,96,78
2020-06-12,4,Bremen,4011,SK Bremen,9,10,4,3.0,81,107,100,75
2020-06-13,4,Bremen,4011,SK Bremen,9,10,4,2.0,92,93,86,86
2020-06-14,4,Bremen,4011,SK Bremen,9,10,4,3.0,97,89,82,91
2020-06-15,4,Bremen,4011,SK Bremen,9,10,7,3.0,93,96,89,88
2020-06-16,4,Bremen,4011,SK Bremen,9,10,3,2.0,89,99,94,83
2020-06-17,4,Bremen,4011,SK Bremen,9,10,3,2.0,92,97,92,85
2020-06-18,4,Bremen,4011,SK Bremen,9,10,4,2.0,91,103,96,86
2020-06-19,4,Bremen,4011,SK Bremen,9,10,4,3.0,77,108,102,71
2020-06-20,4,Bremen,4011,SK Bremen,9,10,4,3.0,76,102,95,71
2020-06-21,4,Bremen,4011,SK Bremen,9,10,5,4.0,72,100,93,67
2020-06-22,4,Bremen,4011,SK Bremen,9,10,7,4.0,65,109,101,61
2020-06-23,4,Bremen,4011,SK Bremen,9,10,8,5.0,66,105,98,61
2020-06-24,4,Bremen,4011,SK Bremen,9,10,5,4.0,68,108,101,63
2020-06-25,4,Bremen,4011,SK Bremen,9,10,4,3.0,70,105,98,65
2020-06-26,4,Bremen,4011,SK Bremen,9,10,4,3.0,69,106,99,64
2020-06-27,4,Bremen,4011,SK Bremen,9,10,6,4.0,77,98,90,73
2020-06-28,4,Bremen,4011,SK Bremen,9,10,6,4.0,69,96,89,64
2020-06-29,4,Bremen,4011,SK Bremen,9,10,4,4.0,89,94,87,84
2020-06-30,4,Bremen,4011,SK Bremen,9,10,5,4.0,84,103,96,79
2020-07-01,4,Bremen,4011,SK Bremen,9,10,4,4.0,78,117,110,73
2020-07-02,4,Bremen,4011,SK Bremen,9,10,5,5.0,78,107,100,73
2020-07-03,4,Bremen,4011,SK Bremen,9,10,5,5.0,77,108,101,72
2020-07-04,4,Bremen,4011,SK Bremen,9,10,5,5.0,78,107,100,73
2020-07-05,4,Bremen,4011,SK Bremen,9,10,5,4.0,86,99,92,81
2020-07-06,4,Bremen,4011,SK Bremen,9,10,5,4.0,83,102,94,79
2020-07-07,4,Bremen,4011,SK Bremen,9,10,5,4.0,81,104,97,76
2020-07-08,4,Bremen,4011,SK Bremen,9,10,4,4.0,76,109,104,69
2020-07-09,4,Bremen,4011,SK Bremen,9,10,4,4.0,84,101,94,79
2020-07-10,4,Bremen,4011,SK Bremen,9,10,4,4.0,87,98,91,82
2020-07-11,4,Bremen,4011,SK Bremen,9,10,3,3.0,86,99,92,81
2020-07-12,4,Bremen,4011,SK Bremen,9,10,3,3.0,92,93,86,87
2020-07-13,4,Bremen,4011,SK Bremen,9,10,3,3.0,89,96,89,84
2020-07-14,4,Bremen,4011,SK Bremen,9,10,3,3.0,85,100,92,79
2020-07-15,4,Bremen,4011,SK Bremen,9,10,3,3.0,80,105,98,75
2020-07-16,4,Bremen,4011,SK Bremen,9,10,3,3.0,81,103,96,76
2020-07-17,4,Bremen,4011,SK Bremen,9,10,5,4.0,87,131,124,82
2020-07-18,4,Bremen,4011,SK Bremen,9,10,5,4.0,67,130,124,62
2020-07-19,4,Bremen,4011,SK Bremen,9,10,7,6.0,64,123,117,59
2020-07-20,4,Bremen,4011,SK Bremen,9,10,5,4.0,70,127,121,65
2020-07-21,4,Bremen,4011,SK Bremen,9,10,5,5.0,72,126,120,67
2020-07-22,4,Bremen,4011,SK Bremen,9,10,4,4.0,120,156,148,116
2020-07-23,4,Bremen,4011,SK Bremen,9,10,4,4.0,122,152,144,118
2020-07-24,4,Bremen,4011,SK Bremen,9,10,4,4.0,114,157,149,110
2020-07-25,4,Bremen,4011,SK Bremen,9,10,4,4.0,118,153,145,114
2020-07-26,4,Bremen,4011,SK Bremen,9,10,4,3.0,120,152,144,116
2020-07-27,4,Bremen,4011,SK Bremen,9,10,4,3.0,93,125,117,89
2020-07-28,4,Bremen,4011,SK Bremen,9,10,5,3.0,87,132,124,83
2020-07-29,4,Bremen,4011,SK Bremen,9,10,5,3.0,91,130,123,86
2020-07-30,4,Bremen,4011,SK Bremen,9,10,5,3.0,92,130,123,87
2020-07-31,4,Bremen,4011,SK Bremen,9,10,5,3.0,85,129,122,80
2020-08-01,4,Bremen,4011,SK Bremen,9,10,4,2.0,82,129,122,77
2020-08-02,4,Bremen,4011,SK Bremen,9,10,4,2.0,80,127,120,75
2020-08-03,4,Bremen,4011,SK Bremen,9,10,4,2.0,84,123,116,79
2020-08-04,4,Bremen,4011,SK Bremen,9,10,2,1.0,52,126,120,46
2020-08-05,4,Bremen,4011,SK Bremen,9,10,2,1.0,51,126,121,44
2020-08-06,4,Bremen,4011,SK Bremen,9,10,2,1.0,47,132,127,40
2020-08-07,4,Bremen,4011,SK Bremen,9,10,2,1.0,46,130,125,39
2020-08-08,4,Bremen,4011,SK Bremen,9,10,4,1.0,43,133,128,36
2020-08-09,4,Bremen,4011,SK Bremen,9,10,3,1.0,43,128,123,36
2020-08-10,4,Bremen,4011,SK Bremen,8,9,3,1.0,39,134,126,35
2020-08-11,4,Bremen,4011,SK Bremen,8,9,1,1.0,40,133,127,34
2020-08-12,4,Bremen,4011,SK Bremen,8,9,1,1.0,48,130,124,42
2020-08-13,4,Bremen,4011,SK Bremen,8,9,1,1.0,43,135,129,37
2020-08-14,4,Bremen,4011,SK Bremen,9,10,1,1.0,30,138,131,25
2020-08-15,4,Bremen,4011,SK Bremen,9,10,1,1.0,21,140,133,16
2020-08-16,4,Bremen,4011,SK Bremen,9,10,2,2.0,26,134,127,21
2020-08-17,4,Bremen,4011,SK Bremen,9,10,2,2.0,29,136,128,25
2020-08-18,4,Bremen,4011,SK Bremen,9,10,3,3.0,33,129,122,28
2020-08-19,4,Bremen,4011,SK Bremen,9,10,3,3.0,27,133,126,22
