dates,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,14,Sachsen,14612,SK Dresden,6,7,6,6,60,100,100,60
2020-04-25,14,Sachsen,14612,SK Dresden,6,7,6,6,51,109,109,51
2020-04-26,14,Sachsen,14612,SK Dresden,6,7,6,6,52,109,109,52
2020-04-27,14,Sachsen,14612,SK Dresden,6,8,6,6,57,134,134,57
2020-04-28,14,Sachsen,14612,SK Dresden,6,10,8,5,53,179,179,53
2020-04-29,14,Sachsen,14612,SK Dresden,6,10,8,5,48,184,184,48
2020-04-30,14,Sachsen,14612,SK Dresden,6,10,9,6,53,176,176,53
2020-05-01,14,Sachsen,14612,SK Dresden,6,10,9,7,55,173,173,55
2020-05-02,14,Sachsen,14612,SK Dresden,6,10,9,7,54,169,169,54
2020-05-03,14,Sachsen,14612,SK Dresden,6,10,8,6,58,165,165,58
2020-05-04,14,Sachsen,14612,SK Dresden,6,10,7,5,62,169,169,62
2020-05-05,14,Sachsen,14612,SK Dresden,6,10,7,5,63,169,169,63
2020-05-06,14,Sachsen,14612,SK Dresden,6,10,7,5,58,174,174,58
2020-05-07,14,Sachsen,14612,SK Dresden,6,10,6,3,44,188,188,44
2020-05-08,14,Sachsen,14612,SK Dresden,6,11,4,3,51,191,191,51
2020-05-09,14,Sachsen,14612,SK Dresden,6,11,4,3,53,190,190,53
2020-05-10,14,Sachsen,14612,SK Dresden,6,11,5,3,64,179,179,64
2020-05-11,14,Sachsen,14612,SK Dresden,6,11,5,3,59,184,184,59
2020-05-12,14,Sachsen,14612,SK Dresden,6,12,4,3,55,224,224,55
2020-05-13,14,Sachsen,14612,SK Dresden,6,12,4,3,55,224,224,55
2020-05-14,14,Sachsen,14612,SK Dresden,6,12,3,2,54,225,225,54
2020-05-15,14,Sachsen,14612,SK Dresden,6,12,3,2,53,226,226,53
2020-05-16,14,Sachsen,14612,SK Dresden,6,12,3,2,53,226,226,53
2020-05-17,14,Sachsen,14612,SK Dresden,6,12,2,2,52,225,225,52
2020-05-18,14,Sachsen,14612,SK Dresden,6,12,3,3,62,217,217,62
2020-05-19,14,Sachsen,14612,SK Dresden,6,12,3,3,68,212,212,68
2020-05-20,14,Sachsen,14612,SK Dresden,6,12,5,2,82,201,201,82
2020-05-21,14,Sachsen,14612,SK Dresden,6,12,5,2,56,200,200,56
