dates,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,3,1,26,24,24,26
2020-04-25,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,2,2,23,25,25,23
2020-04-26,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,4,2,20,24,24,20
2020-04-27,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,3,2,22,24,24,22
2020-04-28,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,2,1,23,25,25,23
2020-04-29,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,4,2,15,22,22,15
2020-04-30,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,1,1,13,24,24,13
2020-05-01,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,1,1,16,21,21,16
2020-05-02,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,1,1,29,17,17,29
2020-05-03,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,2,2,28,18,18,28
2020-05-04,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,1,1,27,19,19,27
2020-05-05,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,1,1,24,22,22,24
2020-05-06,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,1,1,27,19,19,27
2020-05-07,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,0,0,19,25,25,19
2020-05-08,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,3,2,22,24,24,22
2020-05-09,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,4,3,27,22,22,27
2020-05-10,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,4,3,26,20,20,26
2020-05-11,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,4,3,22,25,25,22
2020-05-12,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,3,3,20,27,27,20
2020-05-13,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,3,3,25,22,22,25
2020-05-14,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,3,3,24,23,23,24
2020-05-15,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,3,3,22,25,25,22
2020-05-16,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,3,3,22,25,25,22
2020-05-17,07,Rheinland-Pfalz,07141,LK Rhein-Lahn-Kreis,5,5,3,3,28,19,19,28
