date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,9,Bayern,9463,SK Coburg,1,1,10,6.0,9,25,25,9
2020-04-25,9,Bayern,9463,SK Coburg,1,1,10,6.0,9,25,25,9
2020-04-26,9,Bayern,9463,SK Coburg,1,1,10,6.0,9,25,25,9
2020-04-29,9,Bayern,9463,SK Coburg,1,1,6,1.0,11,23,23,11
2020-04-30,9,Bayern,9463,SK Coburg,1,1,7,1.0,8,26,26,8
2020-05-01,9,Bayern,9463,SK Coburg,1,1,7,1.0,8,26,26,8
2020-05-02,9,Bayern,9463,SK Coburg,1,1,7,1.0,8,26,26,8
2020-05-03,9,Bayern,9463,SK Coburg,1,1,7,1.0,8,26,26,8
2020-05-04,9,Bayern,9463,SK Coburg,1,1,5,3.0,12,22,22,12
2020-05-05,9,Bayern,9463,SK Coburg,1,1,5,3.0,12,22,22,12
2020-05-06,9,Bayern,9463,SK Coburg,1,1,5,3.0,12,22,22,12
2020-05-07,9,Bayern,9463,SK Coburg,1,1,5,3.0,12,22,22,12
2020-05-08,9,Bayern,9463,SK Coburg,1,1,4,3.0,10,24,24,10
2020-05-09,9,Bayern,9463,SK Coburg,1,1,4,3.0,10,24,24,10
2020-05-10,9,Bayern,9463,SK Coburg,1,1,4,3.0,10,24,24,10
2020-05-11,9,Bayern,9463,SK Coburg,1,1,4,3.0,10,24,24,10
2020-05-12,9,Bayern,9463,SK Coburg,1,1,4,3.0,10,24,24,10
2020-05-13,9,Bayern,9463,SK Coburg,1,1,4,3.0,10,24,24,10
2020-05-14,9,Bayern,9463,SK Coburg,1,1,4,3.0,10,24,24,10
2020-05-26,9,Bayern,9463,SK Coburg,1,1,5,3.0,5,29,29,5
2020-05-27,9,Bayern,9463,SK Coburg,1,1,5,3.0,5,29,29,5
2020-05-28,9,Bayern,9463,SK Coburg,1,1,4,2.0,4,30,30,4
2020-05-29,9,Bayern,9463,SK Coburg,1,1,4,2.0,6,28,28,6
2020-05-30,9,Bayern,9463,SK Coburg,1,1,3,1.0,9,25,25,9
2020-05-31,9,Bayern,9463,SK Coburg,1,1,2,1.0,11,23,23,11
2020-06-01,9,Bayern,9463,SK Coburg,1,1,2,1.0,9,25,25,9
2020-06-02,9,Bayern,9463,SK Coburg,1,1,3,1.0,7,27,27,7
2020-06-03,9,Bayern,9463,SK Coburg,1,1,1,1.0,9,25,25,9
2020-06-04,9,Bayern,9463,SK Coburg,1,1,1,1.0,10,24,24,10
2020-06-05,9,Bayern,9463,SK Coburg,1,2,2,1.0,12,33,33,12
2020-06-06,9,Bayern,9463,SK Coburg,1,2,2,1.0,11,32,32,11
2020-06-07,9,Bayern,9463,SK Coburg,1,2,2,1.0,13,30,30,13
2020-06-08,9,Bayern,9463,SK Coburg,1,2,3,2.0,12,31,31,12
2020-06-09,9,Bayern,9463,SK Coburg,1,2,2,2.0,11,32,32,11
2020-06-10,9,Bayern,9463,SK Coburg,1,2,2,2.0,12,31,31,12
2020-06-11,9,Bayern,9463,SK Coburg,1,2,2,2.0,17,26,26,17
2020-06-12,9,Bayern,9463,SK Coburg,1,2,2,2.0,13,30,30,13
2020-06-13,9,Bayern,9463,SK Coburg,1,2,2,2.0,13,30,30,13
2020-06-14,9,Bayern,9463,SK Coburg,1,2,2,2.0,7,36,36,7
2020-06-15,9,Bayern,9463,SK Coburg,1,2,2,2.0,8,35,35,8
2020-06-16,9,Bayern,9463,SK Coburg,1,2,2,2.0,7,36,36,7
2020-06-17,9,Bayern,9463,SK Coburg,1,2,3,3.0,11,32,32,11
2020-06-18,9,Bayern,9463,SK Coburg,1,2,3,3.0,9,34,34,9
2020-06-19,9,Bayern,9463,SK Coburg,1,2,3,3.0,14,29,29,14
2020-06-20,9,Bayern,9463,SK Coburg,1,2,3,3.0,15,28,28,15
2020-06-21,9,Bayern,9463,SK Coburg,1,2,3,3.0,17,26,26,17
2020-06-22,9,Bayern,9463,SK Coburg,1,2,3,3.0,11,32,32,11
2020-06-23,9,Bayern,9463,SK Coburg,1,2,4,3.0,13,30,30,13
2020-06-24,9,Bayern,9463,SK Coburg,1,2,2,1.0,13,30,30,13
2020-06-25,9,Bayern,9463,SK Coburg,1,2,2,1.0,13,30,30,13
2020-06-26,9,Bayern,9463,SK Coburg,1,2,3,0.0,11,32,32,11
2020-06-27,9,Bayern,9463,SK Coburg,1,2,3,0.0,9,34,34,9
2020-06-28,9,Bayern,9463,SK Coburg,1,2,1,0.0,16,27,27,16
2020-06-29,9,Bayern,9463,SK Coburg,1,2,1,0.0,16,27,27,16
2020-06-30,9,Bayern,9463,SK Coburg,1,2,2,1.0,15,28,28,15
2020-07-01,9,Bayern,9463,SK Coburg,1,2,2,1.0,15,28,28,15
2020-07-02,9,Bayern,9463,SK Coburg,1,2,3,1.0,13,30,30,13
2020-07-03,9,Bayern,9463,SK Coburg,1,2,3,1.0,8,35,35,8
2020-07-04,9,Bayern,9463,SK Coburg,1,2,3,1.0,12,31,31,12
2020-07-05,9,Bayern,9463,SK Coburg,1,2,3,1.0,10,33,33,10
2020-07-06,9,Bayern,9463,SK Coburg,1,2,2,1.0,11,32,32,11
2020-07-07,9,Bayern,9463,SK Coburg,1,2,2,1.0,8,35,35,8
2020-07-08,9,Bayern,9463,SK Coburg,1,2,2,1.0,8,35,35,8
2020-07-09,9,Bayern,9463,SK Coburg,1,2,0,0.0,11,31,31,11
2020-07-10,9,Bayern,9463,SK Coburg,1,2,0,0.0,14,29,29,14
2020-07-11,9,Bayern,9463,SK Coburg,1,2,0,0.0,12,31,31,12
2020-07-12,9,Bayern,9463,SK Coburg,1,2,0,0.0,8,35,35,8
2020-07-13,9,Bayern,9463,SK Coburg,1,2,0,0.0,11,32,32,11
2020-07-14,9,Bayern,9463,SK Coburg,1,2,0,0.0,12,31,31,12
2020-07-15,9,Bayern,9463,SK Coburg,1,2,0,0.0,14,29,29,14
2020-07-16,9,Bayern,9463,SK Coburg,1,2,0,0.0,10,33,33,10
2020-07-17,9,Bayern,9463,SK Coburg,1,2,0,0.0,14,29,29,14
2020-07-18,9,Bayern,9463,SK Coburg,1,2,0,0.0,15,28,28,15
2020-07-19,9,Bayern,9463,SK Coburg,1,2,0,0.0,11,32,32,11
2020-07-20,9,Bayern,9463,SK Coburg,1,2,0,0.0,11,32,32,11
2020-07-21,9,Bayern,9463,SK Coburg,1,3,0,0.0,9,34,29,5
2020-07-22,9,Bayern,9463,SK Coburg,1,3,0,0.0,6,37,31,3
2020-07-23,9,Bayern,9463,SK Coburg,1,3,0,0.0,7,36,30,4
2020-07-24,9,Bayern,9463,SK Coburg,1,3,0,0.0,9,34,31,3
2020-07-25,9,Bayern,9463,SK Coburg,1,3,0,0.0,8,35,31,3
2020-07-26,9,Bayern,9463,SK Coburg,1,3,0,0.0,9,34,28,6
2020-07-27,9,Bayern,9463,SK Coburg,1,3,0,0.0,11,32,27,7
2020-07-28,9,Bayern,9463,SK Coburg,1,3,0,0.0,11,32,28,6
2020-07-29,9,Bayern,9463,SK Coburg,1,3,0,0.0,10,33,29,5
2020-07-30,9,Bayern,9463,SK Coburg,1,3,0,0.0,10,33,30,4
2020-07-31,9,Bayern,9463,SK Coburg,1,3,0,0.0,6,37,34,0
2020-08-01,9,Bayern,9463,SK Coburg,1,3,0,0.0,4,39,34,0
2020-08-02,9,Bayern,9463,SK Coburg,1,3,0,0.0,9,34,29,5
2020-08-03,9,Bayern,9463,SK Coburg,1,3,0,0.0,13,32,28,6
2020-08-04,9,Bayern,9463,SK Coburg,1,3,0,0.0,8,35,31,3
2020-08-05,9,Bayern,9463,SK Coburg,1,3,0,0.0,10,33,29,5
2020-08-06,9,Bayern,9463,SK Coburg,1,3,0,0.0,8,35,30,4
2020-08-07,9,Bayern,9463,SK Coburg,1,3,0,0.0,6,37,32,2
2020-08-08,9,Bayern,9463,SK Coburg,1,3,0,0.0,3,40,34,0
2020-08-09,9,Bayern,9463,SK Coburg,1,3,0,0.0,6,37,32,2
2020-08-10,9,Bayern,9463,SK Coburg,1,3,0,0.0,7,36,31,3
2020-08-11,9,Bayern,9463,SK Coburg,1,3,0,0.0,12,31,28,6
2020-08-12,9,Bayern,9463,SK Coburg,1,3,0,0.0,13,30,27,7
2020-08-13,9,Bayern,9463,SK Coburg,1,3,0,0.0,8,35,32,2
2020-08-14,9,Bayern,9463,SK Coburg,1,3,0,0.0,12,31,28,6
2020-08-15,9,Bayern,9463,SK Coburg,1,3,0,0.0,12,31,28,6
2020-08-16,9,Bayern,9463,SK Coburg,1,3,0,0.0,14,29,25,9
2020-08-17,9,Bayern,9463,SK Coburg,1,3,0,0.0,11,32,29,5
2020-08-18,9,Bayern,9463,SK Coburg,1,3,0,0.0,10,33,29,5
2020-08-19,9,Bayern,9463,SK Coburg,1,3,0,0.0,8,35,31,3
2020-08-20,9,Bayern,9463,SK Coburg,1,3,0,0.0,13,30,25,9
2020-08-21,9,Bayern,9463,SK Coburg,1,3,0,0.0,7,36,31,3
2020-08-22,9,Bayern,9463,SK Coburg,1,3,0,0.0,10,33,28,6
2020-08-23,9,Bayern,9463,SK Coburg,1,3,0,0.0,10,33,28,6
2020-08-24,9,Bayern,9463,SK Coburg,1,3,0,0.0,11,32,27,7
2020-08-25,9,Bayern,9463,SK Coburg,1,3,0,0.0,9,34,31,3
2020-08-26,9,Bayern,9463,SK Coburg,1,3,0,0.0,8,35,30,4
2020-08-27,9,Bayern,9463,SK Coburg,1,3,0,0.0,6,37,33,1
2020-08-28,9,Bayern,9463,SK Coburg,1,3,0,0.0,11,32,28,6
2020-08-29,9,Bayern,9463,SK Coburg,1,3,0,0.0,9,34,30,4
2020-08-30,9,Bayern,9463,SK Coburg,1,3,0,0.0,9,34,29,5
