dates,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,4,4,48,62,62,48
2020-04-25,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,5,5,41,57,57,41
2020-04-26,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,4,4,54,49,49,54
2020-04-27,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,4,3,51,51,51,51
2020-04-28,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,3,3,46,55,55,46
2020-04-29,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,2,2,53,48,48,53
2020-04-30,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,3,1,53,52,52,53
2020-05-01,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,2,1,46,60,60,46
2020-05-02,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,2,1,48,60,60,48
2020-05-03,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,2,1,45,53,53,45
2020-05-04,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,1,1,52,54,54,52
2020-05-05,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,1,1,55,50,50,55
2020-05-06,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,49,58,58,49
2020-05-07,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,47,55,55,47
2020-05-08,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,40,61,61,40
2020-05-09,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,48,51,51,48
2020-05-10,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,52,46,46,52
2020-05-11,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,56,43,43,56
2020-05-12,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,49,50,50,49
2020-05-13,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,47,56,56,47
2020-05-14,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,50,47,47,50
2020-05-15,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,38,60,60,38
2020-05-16,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,39,59,59,39
2020-05-17,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,37,64,64,37
2020-05-18,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,41,58,58,41
2020-05-19,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,41,58,58,41
2020-05-20,05,Nordrhein-Westfalen,05374,LK Oberbergischer Kreis,7,7,0,0,44,54,54,44
