date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,6,5.0,13,35,35,13
2020-04-25,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,6,4.0,17,31,31,17
2020-04-26,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,6,5.0,17,30,30,17
2020-04-27,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,6,5.0,23,30,30,23
2020-04-28,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,6,5.0,19,33,33,19
2020-04-29,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,6,5.0,18,34,34,18
2020-04-30,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,6,5.0,25,29,29,25
2020-05-01,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,5,4.0,19,32,32,19
2020-05-02,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,5,4.0,20,31,31,20
2020-05-03,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,5,4.0,16,35,35,16
2020-05-04,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,5,3.0,14,36,36,14
2020-05-05,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,16,36,36,16
2020-05-06,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,18,37,37,18
2020-05-07,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,21,35,35,21
2020-05-08,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,24,30,30,24
2020-05-09,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,20,33,33,20
2020-05-10,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,19,35,35,19
2020-05-11,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,18,36,36,18
2020-05-12,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,19,34,34,19
2020-05-13,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,25,29,29,25
2020-05-14,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,2,1.0,22,31,31,22
2020-05-15,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,2,1.0,19,35,35,19
2020-05-16,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,22,32,32,22
2020-05-17,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,24,29,29,24
2020-05-18,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,23,29,29,23
2020-05-19,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,19,33,33,19
2020-05-20,5,Nordrhein-Westfalen,5117,SK Mülheim an der Ruhr,2,2,3,2.0,19,34,34,19
