date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,8,4.0,151,172,139,147
2020-04-25,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,7,4.0,156,162,129,153
2020-04-26,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,7,4.0,162,156,124,158
2020-04-27,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,5,2.0,150,168,135,147
2020-04-28,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,6,1.0,146,174,140,144
2020-04-29,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,6,1.0,130,190,157,127
2020-04-30,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,6,1.0,124,193,160,121
2020-05-01,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,5,2.0,123,198,165,120
2020-05-02,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,5,2.0,139,185,152,136
2020-05-03,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,5,2.0,123,196,163,120
2020-05-04,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,6,3.0,119,200,167,116
2020-05-05,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,4,1.0,105,206,172,103
2020-05-06,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,5,2.0,110,200,167,107
2020-05-07,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,4,1.0,107,204,170,105
2020-05-08,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,4,1.0,107,203,167,107
2020-05-09,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,6,1.0,114,196,161,113
2020-05-10,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,6,0.0,121,182,147,120
2020-05-11,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,6,1.0,112,198,163,111
2020-05-12,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,6,1.0,103,203,168,102
2020-05-13,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,5,1.0,108,202,168,106
2020-05-14,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,6,1.0,110,193,159,108
2020-05-15,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,3,0.0,112,195,161,110
2020-05-16,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,0,0.0,114,176,142,112
2020-05-17,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,3,0.0,125,185,151,123
2020-05-18,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,2,0.0,125,163,128,124
2020-05-19,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,2,0.0,108,170,136,106
2020-05-20,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,2,0.0,103,175,139,103
2020-05-21,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,2,0.0,105,176,140,105
2020-05-22,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,0.0,110,175,140,109
2020-05-23,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,0.0,105,180,146,103
2020-05-24,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,2,0.0,104,180,146,102
2020-05-25,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,2,1.0,111,175,141,109
2020-05-26,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,2,1.0,105,181,147,103
2020-05-27,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,0.0,102,178,144,101
2020-05-28,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,0,0.0,94,184,150,92
2020-05-29,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,2,1.0,104,186,154,100
2020-05-30,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,2,1.0,107,178,146,103
2020-05-31,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,2,1.0,111,180,148,107
2020-06-01,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,1.0,100,183,151,96
2020-06-02,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,0,0.0,99,184,152,95
2020-06-03,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,0,0.0,97,181,148,94
2020-06-04,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,2,0.0,90,187,154,87
2020-06-05,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,1.0,92,189,157,88
2020-06-06,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,1.0,98,189,156,95
2020-06-07,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,1.0,105,177,143,103
2020-06-08,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,0,0.0,109,172,137,108
2020-06-09,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,0,0.0,107,178,143,106
2020-06-10,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,0,0.0,99,184,149,98
2020-06-11,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,0,0.0,99,184,149,98
2020-06-12,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,0.0,105,177,142,104
2020-06-13,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,0.0,99,183,148,98
2020-06-14,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,0.0,109,173,139,107
2020-06-15,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,0,0.0,105,175,141,103
2020-06-16,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,0,0.0,99,181,147,97
2020-06-17,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,1.0,97,182,148,95
2020-06-18,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,2,2.0,93,187,153,91
2020-06-19,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,1.0,98,185,151,96
2020-06-20,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,1.0,97,185,152,94
2020-06-21,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,1.0,96,186,153,93
2020-06-22,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,1.0,98,185,151,96
2020-06-23,5,Nordrhein-Westfalen,5562,LK Recklinghausen,14,14,1,1.0,98,185,150,97
