date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,40,38,38,40
2020-04-25,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,36,42,42,36
2020-04-26,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,40,39,39,40
2020-04-27,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,42,36,36,42
2020-04-28,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,43,39,39,43
2020-04-29,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,41,41,41,41
2020-04-30,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,44,39,39,44
2020-05-01,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,49,33,33,49
2020-05-02,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,48,36,36,48
2020-05-03,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,44,40,40,44
2020-05-04,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,45,35,35,45
2020-05-05,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,47,35,35,47
2020-05-06,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,43,42,42,43
2020-05-07,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,41,43,43,41
2020-05-08,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,47,38,38,47
2020-05-09,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,46,38,38,46
2020-05-10,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,49,34,34,49
2020-05-11,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,47,36,36,47
2020-05-12,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,48,36,36,48
2020-05-13,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,46,38,38,46
2020-05-14,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,50,34,34,50
2020-05-15,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,50,35,35,50
2020-05-16,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,49,36,36,49
2020-05-17,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,51,33,33,51
2020-05-18,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,52,29,29,52
2020-05-19,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,52,32,32,52
2020-05-20,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,51,31,31,51
2020-05-21,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,49,35,35,49
2020-05-22,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,49,34,34,49
2020-05-23,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,51,33,33,51
2020-05-24,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,55,30,30,55
2020-05-25,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,51,34,34,51
2020-05-26,1,Schleswig-Holstein,1001,SK Flensburg,2,2,1,1.0,50,32,32,50
2020-05-27,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,48,35,35,48
2020-05-28,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,51,33,33,51
2020-05-29,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,48,34,34,48
2020-05-30,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,52,28,28,52
2020-05-31,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,51,31,31,51
2020-06-01,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,51,31,31,51
2020-06-02,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,51,28,28,51
2020-06-03,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,48,33,33,48
2020-06-04,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,48,34,34,48
2020-06-05,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,53,41,41,53
2020-06-06,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,50,33,33,50
2020-06-07,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,51,32,32,51
2020-06-08,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,55,27,27,55
2020-06-09,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,49,36,36,49
2020-06-10,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,51,35,35,51
2020-06-11,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,49,37,37,49
2020-06-12,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,50,34,34,50
2020-06-13,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,51,33,33,51
2020-06-14,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,49,34,34,49
2020-06-15,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,49,33,33,49
2020-06-16,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,50,33,33,50
2020-06-17,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,50,34,34,50
2020-06-18,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,54,29,29,54
2020-06-19,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,52,33,33,52
2020-06-20,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,50,36,36,50
2020-06-21,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,49,37,37,49
2020-06-22,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,51,32,32,51
2020-06-23,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,49,34,34,49
2020-06-24,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,48,37,37,48
2020-06-25,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,51,31,31,51
2020-06-26,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,48,35,35,48
2020-06-27,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,51,32,32,51
2020-06-28,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,49,31,31,49
2020-06-29,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,50,30,30,50
2020-06-30,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,49,32,32,49
2020-07-01,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,51,31,31,51
2020-07-02,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,50,31,31,50
2020-07-03,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,50,30,30,50
2020-07-04,1,Schleswig-Holstein,1001,SK Flensburg,2,2,0,0.0,49,32,32,49
