date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,3,Niedersachsen,3159,LK Göttingen,6,6,12,6.0,72,161,161,72
2020-04-25,3,Niedersachsen,3159,LK Göttingen,6,6,14,7.0,75,130,130,75
2020-04-26,3,Niedersachsen,3159,LK Göttingen,6,6,15,6.0,60,119,119,60
2020-04-27,3,Niedersachsen,3159,LK Göttingen,6,6,15,7.0,64,121,121,64
2020-04-28,3,Niedersachsen,3159,LK Göttingen,6,6,16,7.0,49,135,135,49
2020-04-29,3,Niedersachsen,3159,LK Göttingen,7,7,21,10.0,58,129,129,58
2020-04-30,3,Niedersachsen,3159,LK Göttingen,7,7,18,6.0,63,126,126,63
2020-05-01,3,Niedersachsen,3159,LK Göttingen,7,7,13,7.0,68,135,135,68
2020-05-02,3,Niedersachsen,3159,LK Göttingen,7,7,11,7.0,69,120,120,69
2020-05-03,3,Niedersachsen,3159,LK Göttingen,7,7,10,6.0,75,115,115,75
2020-05-04,3,Niedersachsen,3159,LK Göttingen,7,7,12,6.0,69,107,107,69
2020-05-05,3,Niedersachsen,3159,LK Göttingen,7,7,9,6.0,60,123,123,60
2020-05-06,3,Niedersachsen,3159,LK Göttingen,7,7,9,6.0,61,125,125,61
2020-05-07,3,Niedersachsen,3159,LK Göttingen,7,7,7,5.0,64,124,124,64
2020-05-08,3,Niedersachsen,3159,LK Göttingen,7,7,6,4.0,57,124,124,57
2020-05-09,3,Niedersachsen,3159,LK Göttingen,7,7,10,5.0,64,118,118,64
2020-05-10,3,Niedersachsen,3159,LK Göttingen,7,7,8,5.0,62,120,120,62
2020-05-11,3,Niedersachsen,3159,LK Göttingen,7,7,8,5.0,59,111,111,59
2020-05-12,3,Niedersachsen,3159,LK Göttingen,7,7,6,4.0,47,130,130,47
2020-05-13,3,Niedersachsen,3159,LK Göttingen,7,7,6,4.0,50,126,126,50
2020-05-14,3,Niedersachsen,3159,LK Göttingen,7,7,6,4.0,52,128,128,52
2020-05-15,3,Niedersachsen,3159,LK Göttingen,7,7,7,3.0,61,119,119,61
2020-05-16,3,Niedersachsen,3159,LK Göttingen,7,7,5,3.0,48,133,133,48
2020-05-17,3,Niedersachsen,3159,LK Göttingen,7,7,6,3.0,56,127,127,56
2020-05-18,3,Niedersachsen,3159,LK Göttingen,7,7,5,4.0,52,122,122,52
2020-05-19,3,Niedersachsen,3159,LK Göttingen,7,7,3,3.0,61,129,129,61
2020-05-20,3,Niedersachsen,3159,LK Göttingen,7,8,3,3.0,83,138,127,74
2020-05-21,3,Niedersachsen,3159,LK Göttingen,7,8,4,3.0,91,135,123,84
2020-05-22,3,Niedersachsen,3159,LK Göttingen,7,8,7,3.0,80,130,120,72
2020-05-23,3,Niedersachsen,3159,LK Göttingen,7,8,7,3.0,81,125,115,73
2020-05-24,3,Niedersachsen,3159,LK Göttingen,7,8,7,2.0,82,120,109,75
2020-05-25,3,Niedersachsen,3159,LK Göttingen,7,8,4,2.0,65,127,116,58
2020-05-26,3,Niedersachsen,3159,LK Göttingen,7,8,6,2.0,49,139,127,43
2020-05-27,3,Niedersachsen,3159,LK Göttingen,7,8,3,1.0,56,135,122,49
2020-05-28,3,Niedersachsen,3159,LK Göttingen,7,8,3,1.0,73,137,125,66
2020-05-29,3,Niedersachsen,3159,LK Göttingen,7,8,5,3.0,67,147,132,64
2020-05-30,3,Niedersachsen,3159,LK Göttingen,7,8,5,2.0,58,139,122,57
2020-05-31,3,Niedersachsen,3159,LK Göttingen,7,8,4,2.0,69,132,118,65
2020-06-01,3,Niedersachsen,3159,LK Göttingen,7,8,5,2.0,65,138,124,61
2020-06-02,3,Niedersachsen,3159,LK Göttingen,7,8,3,1.0,65,139,126,60
2020-06-03,3,Niedersachsen,3159,LK Göttingen,7,8,2,2.0,61,148,129,61
2020-06-04,3,Niedersachsen,3159,LK Göttingen,7,8,2,1.0,65,140,121,65
2020-06-05,3,Niedersachsen,3159,LK Göttingen,7,8,3,2.0,70,141,123,70
2020-06-06,3,Niedersachsen,3159,LK Göttingen,7,8,4,2.0,72,141,124,71
2020-06-07,3,Niedersachsen,3159,LK Göttingen,7,8,4,3.0,72,132,116,70
2020-06-08,3,Niedersachsen,3159,LK Göttingen,7,8,4,2.0,68,133,118,66
2020-06-09,3,Niedersachsen,3159,LK Göttingen,7,8,4,2.0,69,134,119,66
2020-06-10,3,Niedersachsen,3159,LK Göttingen,7,8,4,2.0,71,138,122,69
2020-06-11,3,Niedersachsen,3159,LK Göttingen,7,8,4,3.0,65,146,130,63
2020-06-12,3,Niedersachsen,3159,LK Göttingen,7,8,4,3.0,66,141,124,65
2020-06-13,3,Niedersachsen,3159,LK Göttingen,7,8,5,2.0,69,135,118,68
2020-06-14,3,Niedersachsen,3159,LK Göttingen,7,8,3,2.0,60,139,123,58
2020-06-15,3,Niedersachsen,3159,LK Göttingen,7,8,5,2.0,68,133,120,63
2020-06-16,3,Niedersachsen,3159,LK Göttingen,7,8,3,2.0,59,144,131,54
2020-06-17,3,Niedersachsen,3159,LK Göttingen,7,8,3,2.0,53,154,136,53
2020-06-18,3,Niedersachsen,3159,LK Göttingen,7,8,3,2.0,65,142,128,61
2020-06-19,3,Niedersachsen,3159,LK Göttingen,7,8,3,3.0,56,155,140,53
2020-06-20,3,Niedersachsen,3159,LK Göttingen,7,8,4,2.0,64,142,127,61
2020-06-21,3,Niedersachsen,3159,LK Göttingen,7,8,3,2.0,68,136,123,63
2020-06-22,3,Niedersachsen,3159,LK Göttingen,7,8,2,1.0,69,136,124,63
2020-06-23,3,Niedersachsen,3159,LK Göttingen,7,8,2,1.0,62,141,125,60
2020-06-24,3,Niedersachsen,3159,LK Göttingen,7,8,1,1.0,65,140,123,64
2020-06-25,3,Niedersachsen,3159,LK Göttingen,7,8,1,1.0,67,135,119,65
2020-06-26,3,Niedersachsen,3159,LK Göttingen,7,8,1,1.0,67,136,120,65
2020-06-27,3,Niedersachsen,3159,LK Göttingen,7,8,1,1.0,64,138,121,63
2020-06-28,3,Niedersachsen,3159,LK Göttingen,7,8,1,1.0,65,137,122,62
2020-06-29,3,Niedersachsen,3159,LK Göttingen,7,8,1,0.0,64,134,118,62
2020-06-30,3,Niedersachsen,3159,LK Göttingen,7,8,1,0.0,65,136,120,63
2020-07-01,3,Niedersachsen,3159,LK Göttingen,7,8,0,0.0,60,146,127,60
2020-07-02,3,Niedersachsen,3159,LK Göttingen,7,8,0,0.0,66,137,120,65
2020-07-03,3,Niedersachsen,3159,LK Göttingen,7,8,0,0.0,56,150,133,55
