dates,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,14,Sachsen,14627,LK Meißen,5,5,4,3,43,48,48,43
2020-04-25,14,Sachsen,14627,LK Meißen,5,5,5,4,44,49,49,44
2020-04-26,14,Sachsen,14627,LK Meißen,5,5,5,4,51,42,42,51
2020-04-27,14,Sachsen,14627,LK Meißen,5,5,4,4,42,51,51,42
2020-04-28,14,Sachsen,14627,LK Meißen,5,5,4,4,49,44,44,49
2020-04-29,14,Sachsen,14627,LK Meißen,5,5,4,3,48,45,45,48
2020-04-30,14,Sachsen,14627,LK Meißen,5,5,4,3,49,44,44,49
2020-05-01,14,Sachsen,14627,LK Meißen,5,5,3,2,48,45,45,48
2020-05-02,14,Sachsen,14627,LK Meißen,5,5,3,2,45,48,48,45
2020-05-03,14,Sachsen,14627,LK Meißen,5,5,3,2,47,46,46,47
2020-05-04,14,Sachsen,14627,LK Meißen,5,5,3,2,50,43,43,50
2020-05-05,14,Sachsen,14627,LK Meißen,5,5,3,2,44,49,49,44
2020-05-06,14,Sachsen,14627,LK Meißen,5,5,4,2,46,47,47,46
2020-05-07,14,Sachsen,14627,LK Meißen,5,5,3,1,52,41,41,52
2020-05-08,14,Sachsen,14627,LK Meißen,5,5,3,1,52,41,41,52
2020-05-09,14,Sachsen,14627,LK Meißen,5,5,2,1,46,47,47,46
2020-05-10,14,Sachsen,14627,LK Meißen,5,5,2,1,50,43,43,50
2020-05-11,14,Sachsen,14627,LK Meißen,5,5,2,1,46,46,46,46
2020-05-12,14,Sachsen,14627,LK Meißen,5,5,2,1,43,50,50,43
2020-05-13,14,Sachsen,14627,LK Meißen,5,5,2,0,40,53,53,40
2020-05-14,14,Sachsen,14627,LK Meißen,5,5,2,0,50,43,43,50
2020-05-15,14,Sachsen,14627,LK Meißen,5,5,1,0,51,42,42,51
2020-05-16,14,Sachsen,14627,LK Meißen,5,5,2,0,45,48,48,45
2020-05-17,14,Sachsen,14627,LK Meißen,5,5,2,0,47,47,47,47
2020-05-18,14,Sachsen,14627,LK Meißen,5,5,1,0,49,44,44,49
2020-05-19,14,Sachsen,14627,LK Meißen,5,5,1,0,48,45,45,48
