dates,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,4,26,26,4
2020-04-25,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,3,27,27,3
2020-04-26,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,7,23,23,7
2020-04-27,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,7,23,23,7
2020-04-28,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,3,27,27,3
2020-04-29,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,2,28,28,2
2020-04-30,07,Rheinland-Pfalz,07319,SK Worms,1,1,2,0,4,26,26,4
2020-05-01,07,Rheinland-Pfalz,07319,SK Worms,1,1,2,0,5,25,25,5
2020-05-02,07,Rheinland-Pfalz,07319,SK Worms,1,1,2,0,3,27,27,3
2020-05-03,07,Rheinland-Pfalz,07319,SK Worms,1,1,2,0,0,30,30,0
2020-05-04,07,Rheinland-Pfalz,07319,SK Worms,1,1,2,0,2,28,28,2
2020-05-05,07,Rheinland-Pfalz,07319,SK Worms,1,1,2,0,7,24,24,7
2020-05-06,07,Rheinland-Pfalz,07319,SK Worms,1,1,2,0,6,25,25,6
2020-05-07,07,Rheinland-Pfalz,07319,SK Worms,1,1,2,0,4,27,27,4
2020-05-08,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,6,25,25,6
2020-05-09,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,7,25,25,7
2020-05-10,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,6,25,25,6
2020-05-11,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,7,24,24,7
2020-05-12,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,5,26,26,5
2020-05-13,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,9,22,22,9
2020-05-14,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,10,21,21,10
2020-05-15,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,11,20,20,11
2020-05-16,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,12,19,19,12
2020-05-17,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,10,21,21,10
2020-05-18,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,11,20,20,11
2020-05-19,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,5,26,26,5
2020-05-20,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,7,24,24,7
2020-05-21,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,8,23,23,8
2020-05-22,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,6,25,25,6
2020-05-23,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,4,27,27,4
2020-05-24,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,4,27,27,4
2020-05-25,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,5,26,26,5
2020-05-26,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,6,25,25,6
2020-05-27,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,5,23,23,5
2020-05-28,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,5,20,20,5
2020-05-29,07,Rheinland-Pfalz,07319,SK Worms,1,1,1,0,3,23,23,3
2020-05-30,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,4,22,22,4
2020-05-31,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,6,22,22,6
2020-06-01,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,6,22,22,6
2020-06-02,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,11,14,14,11
2020-06-03,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,7,20,20,7
2020-06-04,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,4,24,24,4
2020-06-05,07,Rheinland-Pfalz,07319,SK Worms,1,1,0,0,5,21,21,5
