date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,5,Nordrhein-Westfalen,5314,SK Bonn,11,15,20,16.0,80,195,179,80
2020-04-25,5,Nordrhein-Westfalen,5314,SK Bonn,11,15,21,15.0,79,199,183,79
2020-04-26,5,Nordrhein-Westfalen,5314,SK Bonn,11,15,21,17.0,79,198,182,79
2020-04-27,5,Nordrhein-Westfalen,5314,SK Bonn,11,15,19,16.0,83,197,181,83
2020-04-28,5,Nordrhein-Westfalen,5314,SK Bonn,11,15,20,14.0,70,206,190,70
2020-04-29,5,Nordrhein-Westfalen,5314,SK Bonn,11,15,18,12.0,70,204,188,70
2020-04-30,5,Nordrhein-Westfalen,5314,SK Bonn,11,15,21,13.0,65,210,194,65
2020-05-01,5,Nordrhein-Westfalen,5314,SK Bonn,11,15,15,11.0,63,213,197,63
2020-05-02,5,Nordrhein-Westfalen,5314,SK Bonn,11,15,17,11.0,73,202,186,73
2020-05-03,5,Nordrhein-Westfalen,5314,SK Bonn,11,15,16,13.0,76,198,182,76
2020-05-04,5,Nordrhein-Westfalen,5314,SK Bonn,11,15,17,10.0,68,207,191,68
2020-05-05,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,16,12.0,70,210,192,67
2020-05-06,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,17,11.0,106,203,184,104
2020-05-07,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,17,12.0,69,198,179,67
2020-05-08,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,15,10.0,58,215,196,56
2020-05-09,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,14,10.0,72,202,183,70
2020-05-10,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,14,10.0,69,197,180,65
2020-05-11,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,14,11.0,69,202,184,65
2020-05-12,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,16,12.0,67,203,185,63
2020-05-13,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,15,13.0,63,203,186,59
2020-05-14,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,15,13.0,68,195,178,64
2020-05-15,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,14,11.0,65,205,186,61
2020-05-16,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,12,8.0,57,213,194,53
2020-05-17,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,12,7.0,65,205,186,61
2020-05-18,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,14,8.0,63,208,189,59
2020-05-19,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,13,7.0,58,211,190,56
2020-05-20,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,10,5.0,63,204,183,61
2020-05-21,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,15,6.0,57,216,196,53
2020-05-22,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,14,6.0,54,217,196,51
2020-05-23,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,15,8.0,60,207,188,55
2020-05-24,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,14,7.0,71,199,180,66
2020-05-25,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,11,7.0,63,207,188,59
2020-05-26,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,12,7.0,61,209,190,57
2020-05-27,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,12,7.0,56,210,191,52
2020-05-28,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,12,8.0,50,217,198,46
2020-05-29,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,11,8.0,58,211,192,54
2020-05-30,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,12,7.0,54,216,197,50
2020-05-31,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,11,7.0,56,215,196,52
2020-06-01,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,11,7.0,56,215,194,54
2020-06-02,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,10,5.0,57,213,193,54
2020-06-03,5,Nordrhein-Westfalen,5314,SK Bonn,11,16,11,5.0,62,208,189,58
