dates,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,5,5,0,0,38,109,109,38
2020-04-25,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,6,6,0,0,42,113,113,42
2020-04-26,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,6,6,0,0,36,115,115,36
2020-04-27,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,6,6,0,0,36,116,116,36
2020-04-28,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,6,6,0,0,42,112,112,42
2020-04-29,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,6,6,0,0,38,116,116,38
2020-04-30,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,6,6,0,0,39,117,117,39
2020-05-01,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,41,119,119,41
2020-05-02,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,38,120,120,38
2020-05-03,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,36,122,122,36
2020-05-04,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,36,120,120,36
2020-05-05,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,41,113,113,41
2020-05-06,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,37,120,120,37
2020-05-07,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,35,120,120,35
2020-05-08,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,35,121,121,35
2020-05-09,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,35,121,121,35
2020-05-10,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,41,115,115,41
2020-05-11,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,37,116,116,37
2020-05-12,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,32,126,126,32
2020-05-13,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,34,124,124,34
2020-05-14,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,34,124,124,34
2020-05-15,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,37,121,121,37
2020-05-16,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,33,125,125,33
2020-05-17,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,37,121,121,37
2020-05-18,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,32,127,127,32
2020-05-19,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,32,125,125,32
2020-05-20,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,34,123,123,34
2020-05-21,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,37,120,120,37
2020-05-22,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,37,120,120,37
2020-05-23,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,32,125,125,32
2020-05-24,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,31,126,126,31
2020-05-25,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,32,125,125,32
2020-05-26,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,31,124,124,31
2020-05-27,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,25,129,129,25
2020-05-28,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,25,128,128,25
2020-05-29,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,29,126,126,29
2020-05-30,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,33,121,121,33
2020-05-31,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,40,122,122,40
2020-06-01,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,34,121,121,34
2020-06-02,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,40,149,149,40
2020-06-03,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,42,147,147,42
2020-06-04,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,50,139,139,50
2020-06-05,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,52,145,145,52
2020-06-06,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,56,141,141,56
2020-06-07,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,55,142,142,55
2020-06-08,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,48,133,133,48
2020-06-09,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,47,134,134,47
2020-06-10,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,37,144,144,37
2020-06-11,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,33,148,148,33
2020-06-12,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,38,143,143,38
2020-06-13,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,37,144,144,37
2020-06-14,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,35,145,145,35
2020-06-15,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,35,154,154,35
2020-06-16,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,29,160,160,29
2020-06-17,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,42,147,147,42
2020-06-18,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,47,142,142,47
2020-06-19,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,48,141,141,48
2020-06-20,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,40,150,150,40
2020-06-21,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,40,149,149,40
2020-06-22,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,43,146,146,43
2020-06-23,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,42,147,147,42
2020-06-24,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,47,142,142,47
2020-06-25,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,50,139,139,50
2020-06-26,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,48,142,142,48
2020-06-27,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,47,142,142,47
2020-06-28,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,52,145,145,52
2020-06-29,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,49,148,148,49
2020-06-30,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,40,149,149,40
2020-07-01,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,46,148,148,46
2020-07-02,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,56,144,144,56
2020-07-03,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,54,134,134,54
2020-07-04,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,53,134,134,53
2020-07-05,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,51,136,136,51
2020-07-06,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,48,146,146,48
2020-07-07,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,47,147,147,47
2020-07-08,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,48,149,149,48
2020-07-09,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,45,149,149,45
2020-07-10,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,45,149,149,45
2020-07-11,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,47,147,147,47
2020-07-12,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,43,151,151,43
2020-07-13,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,49,145,145,49
2020-07-14,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,55,139,139,55
2020-07-15,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,48,147,147,48
2020-07-16,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,44,151,151,44
2020-07-17,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,58,139,139,58
2020-07-18,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,53,141,141,53
2020-07-19,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,54,140,140,54
2020-07-20,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,58,136,136,58
2020-07-21,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,56,138,138,56
2020-07-22,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,52,142,142,52
2020-07-23,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,3,0,50,143,143,50
2020-07-24,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,53,141,141,53
2020-07-25,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,49,145,145,49
2020-07-26,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,53,140,140,53
2020-07-27,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,57,132,132,57
2020-07-28,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,55,139,139,55
2020-07-29,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,58,137,137,58
2020-07-30,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,59,136,136,59
2020-07-31,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,62,132,132,62
2020-08-01,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,51,143,143,51
2020-08-02,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,55,138,138,55
2020-08-03,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,55,138,138,55
2020-08-04,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,45,136,136,45
2020-08-05,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,47,134,134,47
2020-08-06,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,1,0,38,143,143,38
2020-08-07,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,42,143,143,42
2020-08-08,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,42,144,144,42
2020-08-09,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,44,142,142,44
2020-08-10,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,45,141,141,45
2020-08-11,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,28,107,107,28
2020-08-12,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,27,108,108,27
2020-08-13,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,32,102,102,32
2020-08-14,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,34,101,101,34
2020-08-15,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,41,94,94,41
2020-08-16,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,40,95,95,40
2020-08-17,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,37,98,98,37
2020-08-18,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,29,106,106,29
2020-08-19,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,33,102,102,33
2020-08-20,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,33,102,102,33
2020-08-21,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,28,107,107,28
2020-08-22,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,30,105,105,30
2020-08-23,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,33,102,102,33
2020-08-24,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,31,104,104,31
2020-08-25,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,28,107,107,28
2020-08-26,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,30,105,105,30
2020-08-27,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,25,110,110,25
2020-08-28,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,32,103,103,32
2020-08-29,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,35,100,100,35
2020-08-30,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,36,99,99,36
2020-08-31,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,36,99,99,36
2020-09-01,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,31,101,101,31
2020-09-02,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,30,102,102,30
2020-09-03,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,32,100,100,32
2020-09-04,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,33,99,99,33
2020-09-05,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,31,101,101,31
2020-09-06,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,35,97,97,35
2020-09-07,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,29,103,103,29
2020-09-08,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,33,99,99,33
2020-09-09,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,35,97,97,35
2020-09-10,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,30,102,102,30
2020-09-11,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,29,103,103,29
2020-09-12,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,28,104,104,28
2020-09-13,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,25,107,107,25
2020-09-14,13,Mecklenburg-Vorpommern,13076,LK Ludwigslust-Parchim,7,7,0,0,22,110,110,22
