dates,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,16,Thüringen,16052,SK Gera,1,1,7,6,4,42,42,4
2020-04-25,16,Thüringen,16052,SK Gera,1,1,7,6,6,40,40,6
2020-04-26,16,Thüringen,16052,SK Gera,1,1,6,5,12,34,34,12
2020-04-27,16,Thüringen,16052,SK Gera,1,1,7,4,8,38,38,8
2020-04-28,16,Thüringen,16052,SK Gera,1,1,5,3,7,39,39,7
2020-04-29,16,Thüringen,16052,SK Gera,1,1,6,3,7,39,39,7
2020-04-30,16,Thüringen,16052,SK Gera,1,1,6,3,9,37,37,9
2020-05-01,16,Thüringen,16052,SK Gera,1,1,5,2,7,39,39,7
2020-05-02,16,Thüringen,16052,SK Gera,1,1,5,2,6,40,40,6
2020-05-03,16,Thüringen,16052,SK Gera,1,1,5,2,5,41,41,5
2020-05-04,16,Thüringen,16052,SK Gera,1,1,6,2,5,41,41,5
2020-05-05,16,Thüringen,16052,SK Gera,1,1,7,2,6,40,40,6
2020-05-06,16,Thüringen,16052,SK Gera,1,1,7,3,5,41,41,5
2020-05-07,16,Thüringen,16052,SK Gera,1,1,7,3,5,41,41,5
2020-05-08,16,Thüringen,16052,SK Gera,1,1,7,3,6,40,40,6
2020-05-09,16,Thüringen,16052,SK Gera,1,1,6,3,4,42,42,4
2020-05-10,16,Thüringen,16052,SK Gera,1,1,6,3,3,43,43,3
2020-05-11,16,Thüringen,16052,SK Gera,1,1,5,3,8,38,38,8
2020-05-12,16,Thüringen,16052,SK Gera,1,1,4,3,8,38,38,8
2020-05-13,16,Thüringen,16052,SK Gera,1,1,3,2,7,39,39,7
2020-05-14,16,Thüringen,16052,SK Gera,1,1,3,2,6,40,40,6
2020-05-15,16,Thüringen,16052,SK Gera,1,1,3,2,6,40,40,6
2020-05-16,16,Thüringen,16052,SK Gera,1,1,3,2,5,41,41,5
2020-05-17,16,Thüringen,16052,SK Gera,1,1,3,2,7,39,39,7
2020-05-18,16,Thüringen,16052,SK Gera,1,1,3,2,8,38,38,8
2020-05-19,16,Thüringen,16052,SK Gera,1,1,3,2,6,38,38,6
2020-05-20,16,Thüringen,16052,SK Gera,1,1,2,1,8,38,38,8
